EAN/UPC,Material,BUn,Category,Key Word,Art Desc,Aisle Number,Side,Aisle Section
85168100856,482471,EA,Grocery Ambient,Confectionery,Morinaga Hi-Chew Tropic Mix Ba,10,L,3
85244400105,353227,EA,Grocery Ambient,Cooking Ingredients,Rockwell Coconut Oil Liquid,10,L,8
85380700582,680581,EA,Grocery Ambient,Cooking Ingredients,ChsnFood Oil Avocado,10,L,8
85469300001,193764,EA,Grocery Ambient,Meal Makers,Mutti Passata,10,R,2
85469300003,193762,EA,Grocery Ambient,Meal Makers,Mutti Tomato Puree wFresh Bsi,10,R,2
85469300016,826194,EA,Grocery Ambient,Canned Food and Ready to Eat,Mutti Tom Polpa Finely Chp,10,R,5
85469300042,735692,EA,Grocery Ambient,Canned Food and Ready to Eat,Mutti Tomatoes Peeled,10,R,5
85469300090,397393,EA,Grocery Ambient,Canned Food and Ready to Eat,Mutti Tomato Paste,10,R,2
85830000501,657201,EA,Grocery Ambient,Cooking Ingredients,OleivaTr Olive Oil Extra Virg,10,L,8
8.71E+11,956234,EA,Grocery Ambient,Meal Makers,Maille Dijonnaise Squeeze,10,R,7
8.71E+11,956242,EA,Grocery Ambient,Meal Makers,Maille Honey Mustard Squeeze,10,R,7
8.71E+11,956246,EA,Grocery Ambient,Meal Makers,Maille Mustard Wholegrain,10,R,7
8.71E+11,956237,EA,Grocery Ambient,Meal Makers,Maille Dijon Original Squeeze,10,R,7
8.71E+11,673153,EA,Grocery Ambient,0,PGTips Teabags,10,L,13
87145900233,626660,EA,Grocery Ambient,Meal Makers,Daiya Cheezy Mac Cheddar Style,10,L,19
87145900234,626664,EA,Grocery Ambient,Meal Makers,Daiya Cheezy Mac Alfredo Style,10,L,19
87145900235,626668,EA,Grocery Ambient,Meal Makers,Daiya Cheezy Mac Wht Ched Veg,10,L,19
87613100110,200594,EA,Grocery Ambient,Cooking Ingredients,Martelli Tomatoes Sundrd,10,R,6
87613100116,315067,EA,Grocery Ambient,Meal Makers,Martelli Passata (Strnd Toms),10,R,2
87613100118,348959,EA,Grocery Ambient,Meal Makers,Martelli Arugula Pesto,10,R,1
87613100119,200585,EA,Grocery Ambient,Meal Makers,Martelli Sicilian Pesto,10,R,1
87613100120,200707,EA,Grocery Ambient,Meal Makers,Martelli Pesto Genovese,10,R,1
87613100121,315050,EA,Grocery Ambient,Cooking Ingredients,Martelli Black Olive Pate,10,R,1
87613100124,200677,EA,Grocery Ambient,Meal Makers,Martelli Hot Pepper Cream,10,R,1
87613100125,200671,EA,Grocery Ambient,Meal Makers,Martelli Garlic Cream,10,R,1
87613100138,471639,EA,Grocery Ambient,Canned Food and Ready to Eat,Martell Paste Tomato Conctd,10,R,2
87613100200,315069,EA,Grocery Ambient,Cooking Ingredients,Martelli Roasted Red Peppers,10,R,6
87613100405,315048,EA,Grocery Ambient,Cooking Ingredients,Martelli Balsamic Glaze,10,L,8
87613100415,200644,EA,Grocery Ambient,Cooking Ingredients,Martelli Grp Sd Oil 100%Itl,10,L,8
8.80E+11,696282,EA,Grocery Ambient,Snacking,Seaweed Roasted & Seasoned,10,L,4
8.80E+11,259970,EA,Grocery Ambient,Meal Makers,Samyang Cup,10,L,2
8.80E+11,695236,EA,Grocery Ambient,Canned Food and Ready to Eat,Samyang Noodle Fire Chicken,10,L,2
8.80E+11,695239,EA,Grocery Ambient,Canned Food and Ready to Eat,Samyang Noodle Fire Chkn Chs,10,L,3
8.80E+11,695240,EA,Grocery Ambient,Canned Food and Ready to Eat,Samyang Noodle FireChkn Curry,10,L,2
8.80E+11,938559,EA,Grocery Ambient,Canned Food and Ready to Eat,Samyang Ramen CarbonaraSpcChk,10,L,3
8.80E+11,938564,EA,Grocery Ambient,Canned Food and Ready to Eat,Samyang Noodles SpcyChknBlakbn,10,L,3
8.80E+11,695243,EA,Grocery Ambient,Canned Food and Ready to Eat,Samyang Noodle Fire Chkn BgBwl,10,L,3
8.80E+11,695246,EA,Grocery Ambient,Canned Food and Ready to Eat,Samyang Noodle Cup Fire Chkn,10,L,2
8.80E+11,944841,EA,Grocery Ambient,Canned Food and Ready to Eat,Samyang BigBowl Chicken,10,L,3
